tf,target,label
UTF1,HIST1H2BK,1
ELL2,CKB,0
TRIM28,GM27326,0
RIF1,TUBA4A,0
NANOG,PODXL,1
HDAC1,MAPK13,0
UTF1,RPL17-PS10,0
MEN1,HEY2,1
HEXIM1,EP300,1
MYCN,FOXQ1,0
EP300,NFKB2,0
ZFP281,HTRA1,1
SOX2,ELK1,1
SMARCC1,ARL6IP5,0
SMAD3,OPLAH,0
BAZ1A,IMPDH1,0
TFE3,ZFP446,0
UTF1,ZFPM1,1
CBX7,RAB3IL1,1
GLI1,CBX4,0
KLF4,RHOX5,0
SOX2,GATA6,1
NFYB,POLR1A,0
ESRRB,NOTCH1,1
TGIF1,MIR1192,0
SALL1,NSD1,0
BTAF1,NCOA3,1
OTX2,SURF4,1
ZFP42,TAF5,1
KLF4,DDX58,1
DR1,LEFTY2,0
ZIC3,PDCD11,0
MED12,ETV6,1
OTX2,CALD1,1
OTX2,BCLAF1,1
SMAD3,NOTCH2,1
NRF1,ILK,1
MYC,HNRNPK,0
BAZ1A,HNF4A,0
ELL2,SNAPC3,0
NRF1,CUX2,1
SALL4,MME,1
SOX2,MED15,0
BTAF1,HSF2,1
TRIM28,CALD1,1
MED12,TEAD3,1
SMAD3,SRM,0
GTF3C1,MEN1,1
POU5F1,CTSD,1
NR0B1,EP300,0
KLF4,EPHA4,1
DPPA4,ELK4,1
EP300,ASS1,1
YEATS4,ETV5,0
HEXIM1,FOXO1,1
NFYA,PLTP,0
HDAC3,FRMD4A,0
ZFP42,RBM14,1
NACC1,ZIC3,1
SMARCA4,ASXL1,1
TFE3,STAT4,0
TET1,SMARCD1,1
TFE3,PHC1,0
GATA4,HDAC10,0
SIN3A,BCAM,1
SOX17,MIR466B-6,0
RNF2,CTBP2,1
TBX3,RARA,0
CNOT3,TRP53BP1,0
TBX3,CNOT2,1
POU5F1,NFIC,0
RARA,MEF2A,1
HDAC3,CUX2,0
TRIM28,CUX2,1
HDAC3,GNPDA1,0
CBX7,ETV4,0
HDAC1,MIR7005,0
MTF2,RNF6,1
TCF12,GM24488,0
KLF4,SP8,1
HDAC1,NOTCH4,1
UTF1,TAF9,1
RIF1,HNF1B,0
EZH2,UCHL1,1
GABBR1,TRIM13,1
SIN3A,ELF2,1
MEN1,THBD,0
ZFP57,PHF12,1
HCFC1,DNMT1,1
E2F1,ITPK1,1
MEN1,PELP1,0
NONO,WDR45,0
SMARCA4,GM4202,0
CBX7,UBTF,0
MED12,GM25451,0
TRIM28,PCBP2,0
ZFP281,GM9385,0
NACC1,MLXIP,0
MEN1,HS3ST1,0
DR1,UBE2C,1
